text,cue_pos,experiencer_pos
2 men plead guilty in gun thefts from national trade show,guilty,2 men
JAY-Z Is Officially the First Billionaire Rapper,Billionaire,
Mike Pence’s reply to Pete Buttigieg ignores the brutality of anti-LGBTQ policies,ignores,Mike Pence
Most-active gold futures end the month about 2% higher,higher,
It’s Time for Saudi Arabia to Stop Exporting Extremism,Stop,
More than 100 Indian children die from brain disease in 3 weeks,die,Indian children
French Authorities Investigating Lyon Explosion as Potential Terror Attack,Terror,French Authorities
"Mueller Spoke. Part of America Heard Laurel, and Part of America Heard Yanny.",Spoke,
Elizabeth Warren kicks off discussion on saving the Senate and the country—by ending the filibuster,discussion,Elizabeth Warren
Trump just told reporters he hopes someone looks into the ‘illegal takedown that failed’,hopes,Trump
Trump can’t even get the Russia thing right anymore,can’t,Trump
WikiLeaks' Julian Assange arrested at Ecuador Embassy in London; U.S. seeks extradition,arrested,Julian Assange
Sudan’s Military Overthrows President Omar al-Bashir,Overthrows,President Omar al-Bashir
"Si le pagó a TurboTax, pero ganó menos de $34,000, podría obtener un reembolso de la siguiente manera.",podría,
This Guy Got Republicans to Vote for a Democrat,Got,Guy
Inside the Bizarre Movie Mel Gibson Doesn’t Want You to See,Bizarre,
"With Craig Indictment, Mueller Probe Sends Ripples Through the Swamp",Indictment,
The History Of Humankind Proves Masculinity Is A Powerful Positive Good,Powerful,The History Of Humankind
That was fast! Joe Biden steps on multiple rakes right out of the gate with this HIGHLY problematic take on America,fast,Joe Biden
Trump’s Space Force Gets the Final Frontier All Wrong,Wrong,Trump’s
Abortion Debate Shows How Media Deploys Language Gymnastics to Serve Left-Wing Goals,Abortion Debate,
Labor and Management Have Nothing in Common,Nothing,
"1,600 Hotel Guests In South Korea Were Secretly Livestreamed On The Internet",Secretly,
Pelosi Bows to Conservatives on Border Funding,Bows,Pelosi
Alex Jones Caught in Vile Racist Ritual,Caught,Alex Jones
Ari Berman: GOP Docs Prove Census Citizenship Question Is About Preserving White Political Power,Preserving,Ari Berman
GOP Rep. writes 407-word Fox News op-ed defending McCain — doesn’t mention Trump once,defending,
"On Eve of Russia Trip, Pompeo Squelches Criticism of Moscow",Criticism,Pompeo
The US Has Some of the Worst Gun Violence in the World. Amnesty International Wants the Government to Give Reparations to Victims.,Violence,
A judge tossed a Chicago suburb’s “assault rifle” ban,tossed,
‘Evil has no limit’: Blue-checked UK journo’s case for more abortions is ‘truly disgusting’,disgusting,
The Myths of Means-Testing Are Still Alive Among Democrats,Still Alive,Myths
Woman Writes Heartfelt Tribute To McDonaldand#039;s Employee Who Made Her Day,Tribute,Woman
Trump's Attack on Cummings and His District Is Racist,Attack,Trump
"Video shows far-left activists storm ICE facility, remove American flag — then raise Mexican flag",remove,activists
‘Top Gun’ Memoir Warns American Military Air Superiority Is In Danger,Warns,Top Gun’ Memoir
Five numbers that explain US border crisis,crisis,
Retail Giant PetSmart Names PETA in Spying Lawsuit,Lawsuit,PetSmart
Millions of Americans Are Breathing Unsafe Air and It’s Getting Worse,Unsafe,Millions of Americans
Iran Foreign Minister: Iran Considering Talks With US On Ballistic Missiles,Considering,Iran Foreign Minister
Rights groups sue Tennessee over latest voter suppression scheme,sue,Tennessee
Chart of the Day: Q1 Growth Is Looking Pretty Anemic,Anemic,
"Biden Got Demolished, Doesn't Look So 'Electable' Anymore",Demolished,Biden
Hundreds of thousands are set to march in London for a second Brexit referendum,march,
F1: Williams drivers George Russell and Robert Kubica prepare for long-term recovery,prepare,George Russell
Americans Actually Do Want Medicare for All,Medicare,Americans
Lizzo spreads the gospel of self-love with powerhouse vocals at sold-out D.C. show,spreads,Lizzo
Robotic Hacks: CNNers Sound Awfully Similar Bashing Trump’s ‘Politics of Hate’ on Baltimore,Hate,Robotic Hacks
Christchurch shootings: The New Zealanders rallying to help victims,shootings,Christchurch
Overworking kills more than 300 poll staff,kills,
A Million Americans Need This Drug. Trump’s Deal Won’t Help Enough of Them.,Need,Million Americans
Nasdaq flirts with negative territory with 10 minutes left in session,negative,Nasdaq
Oklahoma flooding sweeps home into river,flooding,Oklahoma
Nepalese Army Removes Two Tons Of Waste From Mount Everest,Removes,Nepalese Army
Here’s what Donald Trump can teach Democrats about winning crossover votes,teach,Donald Trump
"‘It was Geraint’s decision’, says Egan Bernal after attack at Tour de France",attack,Geraint
"MS-13 members from L.A. charged in string of grisly killings, prosecutors say",charged,MS-13 members
Amazon Offered Job to Pentagon Official Involved With $10 Billion Contract It Sought,Offered,Amazon
"Russia Violates Critical Nuclear Treaty, NATO Speaks Out",Violates,
Lula Is Innocent. Free Him Now.,Innocent,Lula
Public transport is in decline in many wealthy cities,decline,Public transport
Citadel adds traders to profit from stimulus shift,profit,Citadel
Truck slams into crowd on highway in Guatemala; 30 dead,slams,Truck
Here’s the ‘gaping loophole’ in federal law that Russia and other countries can exploit to legally influence the 2020 election,exploit,Russia
North Koreans discuss Kim Jong-un's trip to Russia,discuss,North Koreans
Samantha Bee Brutally Mocks Joe Biden’s Apology,,
The GOP’s anti-choice zealots are threatening to lurch America into a cold civil war,threatening,
First Photographs From Inside Fire-Ravaged Notre Dame Reveal Heartbreak And Hope,Reveal,First Photographs
Ryanair announces plan to cut hundreds of jobs,cut,
"That Viral Video of a Chimp Scrolling Instagram Is Bad, Actually",Bad,
Trump Health Care Strategy: Pretend to Have a Plan,Pretend to Have a Plan,Trump
Chinese billionaire faces charges in $1.8-billion scheme to smuggle aluminum through L.A.,charges,Chinese billionaire
Bayside Bowl putting on a show for PBA playoffs on Fox,show,Bayside Bowl
"Walloped by heat wave, Greenland sees massive ice melt",Walloped,Greenland
Pelosi announces resolution condemning Trump for racist tweets,condemning,Pelosi
House Dems Consider Flexing Their Power of the Purse in Trump Oversight Battles: Report,Flexing,House Dems
University Of Cambridge Rescinds Jordan Peterson Invitation After Backlash,Rescinds,Jordan Peterson
House Oversight Committee threatens salaries of Interior staff who block interviews,threatens,House Oversight Committee
"For Theresa May, ‘I’m a tin-eared lunatic’ seems to be the hardest word | Marina Hyde",lunatic,
Tuberculosis. Chicken Pox. Traumatized: 5 Updates on Immigrant Youth Shelters in Illinois.,Tuberculosis. Chicken Pox.,
Pete Buttigieg: Trump immigration approach backward,immigration,Pete Buttigieg
Scientists 'alarmed' after 13th dead gray whale washes up in Northern California this year,alarmed,Scientists
NY county clerk files lawsuit challenging giving undocumented immigrants licenses,lawsuit,undocumented immigrants licenses
U.S. military’s new secret weapon: The “flying Ginsu”,weapon,U.S. military’s
Kwame Akoto-Bamfo: 'You see the faces of our ancestors',faces,Kwame Akoto-Bamfo
"Second Democratic debate live thread: Two socialists enter, one socialist leaves",debate,
A Third Court Rules That Trump's Census Citizenship Question Is Illegal,Rules,
"All 21 Marvel Superhero Films, Ranked",Superhero,
"Refugees need not be a burden, if they are allowed to work",burden,Refugees
"NYT: U.S. Steps Up Attacks on Russian Electrical Grid, but Trump May Be in the Dark",Attacks,NYT
U.S. imposes new sanctions on Maduro's state-owned oil company,sanctions,U.S.
More than 170 firefighters battle large wildfire in Greece,,
Trump Promises ‘Phenomenal’ Health Care Plan Soon,Phenomenal,Trump
Scouted: The Buffy Cloud Comforter Is One of the Best Out There — and It’s on Sale on Amazon,Comforter,
Winning Socialism Is About Winning Freedom,Winning,
Alexandria Ocasio-Cortez and Hillary Clinton Mocked Jared Kushner on Twitter,Mocked,Alexandria Ocasio-Cortez and Hillary Clinton
The Wildest Videos Of The Venezuela Uprising,Wildest,
Mexico’s Government Still Foolishly Thinks It Can Reason With Trump,Foolishly,Trump
Japan’s New Emperor Marks a New Era,New Era,
Trump Didn't Call Neo-Nazis 'Fine People.' Here's Proof,Didn't Call,Trump
Raytheon and United Technologies are merging to create ‘military-industrial behemoth’,,Raytheon and United Technologies
'Unplanned': How former Planned Parenthood Director Abby Johnson became America's most influential ​anti-abortion activist,influential,Planned Parenthood Director Abby Johnson
'The Farewell' Makes the Asian American Immigrant Experience Feel Universal,Feel,
Gabbard: Harris Leveled ‘False Accusation’ of Racism at Biden,False Accusation,Gabbard
13-Year-Old Boy Buys His Struggling Mom A Car,Buys,13-Year-Old Boy
"Democrats: we’d love to nominate a young woman of color in 2020. Also, we love Joe Biden.",love,Democrats
New study claims white people's diets disproportionally contribute to climate change,climate change,white
Mark Meadows Erupts over Kellyanne Subpoena,Erupts,Mark Meadows
Regulators cut banks some slack on Libor shift,cut,Regulators
"From the Mediterranean to Mexico, Capt. Pia Klemp Believes Rescuing Refugees Is Worth Facing Prison Time",Rescuing,Capt. Pia Klemp
Your Game of Thrones Favorites Have the Most Emotional Tributes to the Show You Never Wanted to Leave,Favorites,
Electricity does not change poor lives as much as was thought,change,
Donald Trump’s ‘bizarre’ questions on George Washington tour,‘bizarre’,
"Iranian metalheads avoid prison, commence rocking Norway",avoid prison,Iranian metalheads
"Threats against members increasing, Capitol Police chief says",Threats,Capitol Police
The New Hampshire Poetry Community Has Never Been More Angry,Angry,The New Hampshire Poetry Community
Trump repeats warnings and imposes new sanctions on Iran amid tension,warnings,Trump
Lawmakers Think Facebook Is Trying to Start a Bank. Walmart Tried That—and Failed.,Failed,Lawmakers
Delingpole: Trump Supporter Attacked with Milkshake in London's Parliament Square,Attacked,Trump Supporter
Firefighters Help Man Get Home By Pushing His Electric Wheelchair,Help,Firefighters
"Nancy Pelosi, a Historically Great Speaker",Historically Great,Nancy Pelosi
"Sol Pais, Woman Wanted Over Columbine Threats, Is Dead",Threats,
"The New Right, Dripping With Malice",Dripping With Malice,
Russia’s Military Exercises in the Arctic Have More Bark Than Bite,Bark,
"National Guard In California, Nevada, Washington State, Oregon, and New Mexico Defy Trump's Trans Troops Ban",Defy,National Guard
Trump: 'Hoax' Mueller Probe 'Should Never Be Allowed To Happen To Another President',Allowed,Trump
Third Child Dies In U.S. Government Custody Since December,Dies,Third Child
Volvo warns on ‘irresponsible’ self-driving roll-out,‘irresponsible’,Volvo
Pro-Brexit troll threatened to send Tory MP Nicky Morgan to the burns unit,threatened,Tory MP Nicky Morgan
Glencore’s Congo tragedy highlights security conundrum for miners,tragedy,
Trump lauds military at Independence Day celebrations,lauds,military
"Nurse, 49, dies trying to save another woman from drowning in a stand-up paddleboard yoga class",Nurse,
UK braves US ire with tax on tech companies,braves,US
"Truck Plows Into Crowd On Guatemala Highway, Killing At Least 30",Killing,
The oldest living western lowland gorilla in a zoo has died at 63,died,The oldest living western lowland gorilla
"A Sniff by a Pot-Detecting Dog Requires Probable Cause and Does Not Justify a Search, Says Colorado Supreme Court",Requires Probable Cause,Colorado Supreme Court
Donald Trump throws a tantrum after he gets caught cheating,tantrum,Donald Trump
WATCH - Bernie Sanders Would Move U.S. Embassy Out of Jerusalem,Move,Bernie Sanders
Penn State prof moonlighting as Uber driver accused of kidnapping: report,accused,
Dem Rep. Goes On Morning Joe To Complain Media Are 'Agents of the Republican Party',Complain,Dem Rep
U.N. Human-Rights Official: U.S. Abortion Bans Are ‘Extremist Hate’ and ‘Torture’,‘Extremist Hate’ and ‘Torture’,U.N. Human-Rights Official
US-China trade tensions have hit a business news app backed by China’s “Rupert Murdoch”,tensions,US-China
Pelosi Applauds Mueller For Providing 'Record' For 'Future Action' By Congress,Applauds,Pelosi
Border Patrol Agents Save Migrant from Deadly Exposure in Texas,Save,Agents
"EARTHQUAKE! American Humane Rescue Team Offers Tips to Keep Pets Safe Before, During and After Earthquakes",Tips,American Humane Rescue Team
"Babson To Host 39th Annual Babson College Entrepreneurship Research Conference (BCERC) June 5-8, 2019",Host,Babson
Israel Announces Golan Heights Settlement To Be Named After Trump,Heights Settlement,Israel
Armed Militia Detained Hundreds of Migrants in New Mexico,Detained,Armed Militia
Greta Van Susteren Back On TV,Back,Greta Van Susteren
Welfare Money Is Paying for a Lot of Things Besides Welfare,Welfare,
‘Trump supporters for Ocasio-Cortez’: AOC tells the bizarre story of her most surprising fans,surprising,Trump supporters
Andy Ngo reports on the epidemic of hoax hate crimes against LGBT people in Portland,hate,Andy Ngo
Hong Kong Police Make ‘Largest Ever’ Seizure of Explosives in Lead Up to Protests,Seizure,
Fresh calls for Trump’s impeachment after Mueller statement,calls,Trump’s
Sri Lanka's Catholic Churches Cancel Sunday Mass A Week After Deadly Bombings,Deadly Bombings,Sri Lanka's
Some drug groups are still pushing triple-digit price rises,pushing,
Castro: Biden Shouldn't Joke About Allegations - 'Bullsh*t' to Say People Can Laugh It Off,Joke,Castro
Things just took an ugly turn in Donald Trump Jr subpoena battle,ugly,Donald Trump Jr 
LSU professor on new football locker room: 'This state values athletics more than academics',values athletics more than academics,LSU professor
Al Qaeda’s Master Terrorists Are Still on Facebook and YouTube,Terrorists,Al Qaeda’s
"'My Whole Life Is On Hold': As Walmart Eliminates Greeters, A Dream In Limbo",Eliminates,
Biden and the Problem of Touch,Problem,
France's Macron vows to help restart Serbia-Kosovo talks,help,France's Macron
Unhinged Streisand: ‘Send in the Clowns’ remix all about Trump,Unhinged,
Mike Pompeo urges China to immediately halt detention of Uighurs in Xinjiang,urges,Mike Pompeo
Goosehead Insurance stock price target raised to $55 from $37 at BofA Merrill Lynch,raised,Goosehead
First batch of Louisiana's medical marijuana cleared for release Tuesday to pharmacies by regulators,cleared,
Nets Skip Trump Executive Order to Protect Free Speech on College Campuses,Skip,Trump
EU Tells Iran To Reverse Uranium Enrichment,Reverse,EU
POLICE PROTECT BLACK FEMALE TRUMP SUPPORTER From Violent White Antifa Terrorists in DC,BLACK,
Cops raid Dallas Catholic Diocese after church leaders reportedly 'thwarted' investigation into child sexual abuse,Cops raid Dallas Catholic Diocese after church leaders reportedly 'thwarted' investigation into child sexual abuse,church leaders
What Caster Semenya’s case means for women’s sport,,
President Trump Surprised by Meghan Markle's 'Nasty' Comments About Him,Surprised,President Trump
North Korea Criticizes Bolton's 'Dim-Sighted' Remarks About Denuclearization,Criticizes,North Korea
Trump’s bid to wipe out AIDS will take more than a pill,wipe,Trump
British Airlines flight hits extreme turbulence: 'Loads of people hitting the ceiling',extreme,British Airlines
Moscow just made it easier for Ukrainians to become Russian,easier,Moscow
"Gold futures give back much of their earlier gains, finish modestly higher",futures,
New Hampshire Republicans to Corey Lewandowski: Stay Away From the Senate,Stay Away,New Hampshire Republicans
"Trump signs 9/11 first responder bill with press conference of lies, insults, and no Democrats","lies, insults",Trump
Carlos Ghosn on Twitter: Ready to ‘tell the truth’ about events,Carlos Ghosn,Carlos Ghosn
Senate Intel finds 'extensive' Russian election interference going back to 2014,extensive,Senate Intel
"London Bridge was like a war zone, says fiance of terror attack victim",terror attack,London Bridge
Chuck Grassley says he can't believe that President Trump actually thinks that tariffs are good,can't believe,Chuck Grassley
"NPR Diversity Executive: Let the Public, Not Journalists, Decide Who Is Racist",Racist,NPR
Alabama Congressman Quotes Mein Kampf to Criticize Democrats and the Media,Criticize,Alabama Congressman
Iranian hackers wage cyber campaign amid tensions with US, amid tensions,Iranian hackers
Islamic Terrorists Ramp Up Attacks On Nigerian Christians,Attacks,Nigerian Christians
Donald Trump warns Megan Rapinoe not to 'disrespect' US flag at World Cup,disrespect,Donald Trump
A former Amazon employee hacked the credit card data of 100 million Americans,hacked,Amazon employee
‘What a snob’: Alec Baldwin says Trump ‘fooled all these flyover Americans’ (cue backpedaling!),fooled,Alec Baldwin
"In Face of Death Threats, Omar Says We Must Confront White Nationalism",Threats,Omar
This High School Opens Its Doors Every Friday Night To Keep Students Off The Streets,Opens,High School
EU hits Qualcomm with €242m fine over pricing,hits,Qualcomm
Sport shorts: Juventus sign Matthijs de Ligt and Lando Norris urges Lewis Hamilton to ‘stick around’ in F1,sign,
Meet the rare tiger cubs making their debut at Sydney Zoo,rare,
London to be ‘as hot as Barcelona’ by 2050,hot,London
Top Dem strategists launch secret-money group to rebrand party,launch secret-money group,launch
Experts Accuse China of Murdering People and Taking Their Organs,Accuse,Experts
Joe Biden Did Not Speak to Heather Heyer’s Mother Before ‘Capitalizing’ on Her Daughter’s Death,Not Speak,Joe Biden
NATO chief plays down divisions as allies mark anniversary,down,NATO
"In Space Jam 2, LeBron Should Play for the Monstars",Should,
Dan Gainor on Big Tech Censorship: ‘Absolutely a Threat’ to Our Democratic Republic,Threat,Dan Gainor
International Space Station In Danger After India Shoots Satellite With Missile,Danger,International Space Station
These Photos Show Just How Bad India’s Water Crisis Has Become,Water Crisis,India
Plains-wanderer hatchlings snuggle up to feather duster 'father' –,snuggle,Plains-wanderer hatchlings
FIFA to stick with 32 teams for Qatar World Cup,stick,FIFA
Scientists Want to Inspire Public Conversations About Death,Inspire,Scientists
The U.S. put nuclear waste under a dome on a Pacific island. Now it’s cracking open.,nuclear,The U.S.
European Nations Won’t Sanction Iran Yet For Violating Nuclear Deal,Won’t Sanction,
Israel’s Netanyahu Set to Win Fifth Term After Vow to Annex West Bank,Win,
Taiwan puppet master's push to keep ancient art alive,push,Taiwan puppet master's
The Republicans Are Dead to Planet Earth,Dead,The Republicans
Donald Trump Concerned About Google and Facebook Digital Monopoly,Concerned,Donald Trump
The Hezbollah Sleeper Agent Busted for Black Ops in America,Busted,Hezbollah
"August gold gains $3.20, or 0.2%, to settle at $1,400.10/oz",gains,
Biman Airlines plane skids off runway in Myanmar; 4 injured,4 injured,
"UN Bows To U.S. Demands, Waters Down Resolution To Help Survivors Of Sexual Violence In War",Down,UN
At Least 30 Migrant Children Have Been Separated From Their Parents for More Than a Year,Separated,
"Shocking image from Syria shows girl, 5, clinging to sister's T-shirt at bombed building",Shocking,
Mueller directly refutes White House claim that his report exonerates Trump,refutes,Mueller
The Kansas Supreme Court Just Upheld the Right to Abortion,Upheld,Kansas Supreme Court
Warren has lots of plans. But not on health care.,not on health care,Warren
"A Sociologist of Religion on Protestants, Porn, and the “Purity Industrial Complex”",Protestants,
Treasury Secretary Steve Mnuchin Holds His Ground – Smacks Down Democrat Lawmaker Gunning For Trump’s Tax Returns,Holds His Ground,Steve Mnuchin
Democrats Are Maaaaaaybe Starting to Find the Right Balance on the Tricky Politics of Impeachment,Starting,Democrats
Dad plunges to his death after falling asleep and rolling off hotel balcony,death,Dad
Clinton Lawyer Testimony to Judicial Watch Contradicts What She Told FBI About What She Knew About Hillary’s Private Email Use,Clinton Lawyer,
"Human Smugglers Throw Two Disabled Migrants into Border River, Say Feds",Throw,Two Disabled Migrants
Sudan and Algeria overthrow despots but not their political systems,overthrow,Sudan and Algeria
Chaining yourself to Donald Trump doesn't look like it's turning out to be a good career move,Chaining,Donald Trump
"More Leftist Infighting: Black Feminist Panel Barred From Speaking, Accused of Transphobia",Accused,Feminist
The Images Coming out of Hong Kong Are Simply Jawdropping,Jawdropping,
"Two more Camp Pendleton Marines and a sailor arrested in human smuggling, drug probe",arrested,
'We're Not Being Paranoid': U.S. Warns Of Spy Dangers Of Chinese-Made Drones,Dangers,U.S.
"House Dem Says Dems Must Support Abortion, Gay Marriage",Support,House Dem
Bad Law Is Corrupting the Obstruction Debate,Corrupting,
Star Trek actress Marina Sirtis reveals she was molested by her babysitter's teenage sons,molested,Marina Sirtis
"Fuel Retailers, Biodiesel Producers and Consumers Applaud House Legislation to Extend the Biodiesel Tax Credit",Applaud,
Road ahead: Pressure rising for debt limit deal,Pressure,
Fed cuts interest rates for first time in a decade: why it matters,,
"Claiming Racism, Illinois Democrat Cancels Local Civil War Re-Enactment",Racism,Claiming Racism
"Comey's Next Reckoning Is Imminent, This Time for Leaking",Imminent,Comey's
James Holzhauer’s Jeopardy winning streak has come to an end,winning streak,James Holzhauer’s
Don’t Compare the Situation on the Border to the Holocaust,Holocaust,
Syrian troops take village in last rebel stronghold,take,Syrian
"At Sergio Moro’s Suggestion, Brazil’s Anti-Corruption Prosecutors Plotted to Leak Secret Evidence Aimed at Helping Venezuela’s Opposition",Leak Secret Evidence,Sergio Moro’s
The White House Denied Me Access to Trump’s Environmental Speech,Denied Me Access,Trump
TAC Bookshelf for the Week of July 22,Bookshelf,
"Luis Alvarez, Long-Time Advocate of 9/11 Responders, Dies at 53",Dies,Luis Alvarez
Protesters flood London streets as Trump meets British Prime Minister,flood,Protesters
Poll: Majority view socialism as incompatible with American values,incompatible,
The Corporate Campaign to Kill Bernie’s Medicare for All Bill Is Here,All Bill Is Here,
FedEx Sues U.S. Commerce Department Over Export Controls In Huawei Dispute,Sues,FedEx
“Ban Me Motherf***er” – Snoop Dogg Blasts Facebook/Instagram Censorship,Blasts,Snoop Dogg
Turkey and New Zealand row over the Christchurch massacre,massacre,Turkey and New Zealand
Meghan McCain presses Steyer on 2020 bid: 'You have not proven that you can inspire people',presses,Meghan McCain
"This Week in Brexit: Theresa May Can’t Stop, Won’t Stop",Theresa May Can’t Stop,
Record Number Of AFRICAN Migrants Are Now Showing Up At The U.S.-Mexico Border,Record Number,
Zero Tolerance: Inside the Secretive Network of Immigrant Youth Shelters in Illinois,Zero Tolerance,
US tells Afghan president Qatar talks best chance for peace,best chance for peace,
N.C. crowd chants ‘Send her back’ as Trump criticizes Omar and House ‘squad’,criticizes,Trump
Trump’s latest China tariff threat is just bluster,threat,Trump
Shanahan’s Review of Niger Ambush Seen as ‘Rubber Stamp’,Review,Shanahan
"CNN's Cooper: Trump's 'Cruelty' Is 'Not a Bug of the System, It’s a Feature'",Cruelty,Trump's
Viral Search Helps Woman Find Man And Child She Photographed Before Notre Dame Fire,Helps Woman,Woman
"Safe climate a constitutional right, young plaintiffs tell court",plaintiffs,young
Epoch Times Publisher Pens Fiery Letter Accusing NBC News Reporters Of Asking Inappropiate Questions,Accusing,Epoch Times Publisher
The Italian Donald Trump Visits Washington,Visits,The Italian Donald Trump
Voting Rights Roundup: Supreme Court deals landmark defeat to foes of partisan gerrymandering,deals,Supreme Court
Activists debunk Republicans’ misinformation at House hearing on abortion bans,debunk,Activists
Episcopal alum possibly among Ole Miss students posing with guns at sign honoring Emmett Till,guns,students
Trump says he didn’t fire Mueller because he saw what happened to Nixon,fire,Trump
The Millennial Homeownership Rate Is About the Same as it was 25 Years Ago,Homeownership Rate,
"AOC: Our side doesn’t name-call like those xenophobic, white supremacists on the right",name-call like,
White House orders former personnel security director to disobey congressional subpoena,,
"As William Barr circles the drain, Donald Trump tries out a whole new evil plan",evil,William Barr
"Dove Is Offering $5,000 Grants For Dads Without Access To Paid Paternity Leave",Offering,Dove
Improved Prosthetic Hand Has A Lighter Touch And Easy Grip,Lighter,
Alexandria Ocasio-Cortez melts down over NY Times’ ‘glamour shot’ of former Trump aide Hope Hicks,melts down,Alexandria Ocasio-Cortez
"Serbian leader calls for Kosovo compromise, issues warning",compromise,Serbian leader
What the US is saying about Donald Trump’s state visit,saying,Donald Trump’s
A Foreign Policy Without War or Corporate Power,Without War,A Foreign Policy
Rihanna Might Possibly Be Trolling Her Superfans and This Is Proof,Trolling,
Democrats Want to Change the Rules of the Game,Change the Rules,Democrats
Happy Khaniversary! Significant Rise in Crime in 3 Years Under London Mayor: Report,Crime,
David Beckham gets six-month driving ban for using phone at wheel,ban,David Beckham
Let’s look in on the democratic socialist convention and see how it’s going,Let’s look,
"“We Work, We Sweat, Put $15 on Our Check!”","Work, We",
President Trump declares victory after impeachment is defeated in the House,victory,President Trump
"While Trump Practices Benign Neglect, Mulvaney Hammers Cabinet Members",Benign Neglect,
Democrats defend Congresswomen Trump says should “go back” to their “corrupt” countries,defend,Democrats
Boris Johnson is at risk of losing his seat in the next election,losing,Boris Johnson
Four years ago today Trump launched his campaign. Media still hasn't figured out how to cover him,,
‘Justice on Trial’ Is The Definitive Account Of Brett Kavanaugh’s Confirmation,Justice on Trial,
8 grilling mistakes that will screw up your Memorial Day cookout,screw up,
The CBO Report On Single Payer Isn’t The One We Deserve To See,Deserve,
WaPo columnist: Democrats will have to defeat Trump at ballot box post-Mueller,defeat,Democrats
Cheese rolling and racing corgis: Monday's best,best,
Barr-Nunn Offers New Team Fleets with Higher Pay,Offers,Barr-Nunn
L.A. rapper Nipsey Hussle’s murder is a familiar refrain for Americans,murder,Nipsey Hussle’s
Jared Kushner’s telling indifference on refugees,indifference,Jared Kushner
Letters: GOP neglecting its duties on election security,neglecting,
"22 Years After Bestselling ‘I Kissed Dating Goodbye,’ Joshua Harris Leaves His Wife And Faith",Leaves,Joshua Harris
Conservative writer gets punched kicked and 'milkshaked' at a Portland rally,punched,Conservative writer
"The Mueller Report Is Part Spy Thriller, Part Game of Thrones—With Footnotes",,
Corruption Is the Tie that Binds for Trump-Era Republicans,Binds,
The 'Aladdin' Porn Parody Is Here and We Fixed Its Title,Parody,Aladdin
Erdogan: ‘Solution’ Possible to Help Muslims Held in Chinese Concentration Camps,Solution,Erdogan
Jamal Khashoggi’s kin deny getting ‘blood money’ payout from Saudi Arabia,‘blood money’,Jamal Khashoggi’s
The Radical Roots of Free Speech,Free Speech,
The Drug War's Hidden Foster Care Crisis,Drug War's,
"U.S. sees surge in confirmed cases of measles, CDC reports",surge,U.S.
Compost potatoes might be José Andrés’s ‘most insane recipe’ yet. Here’s what they taste like.,‘most insane recipe’,José Andrés
Cardinal Burke: Notre Dame Fire ‘A Sobering Reflection On The Destructiveness’ Of Our Times,Destructiveness,Cardinal Burke
Officials: BA suspending flights from London for 2 days,suspending,Officials
Quote of the Day: DHS Is On the Chopping Block,Block,
Passenger feared to have fallen overboard on cruise ship,feared,Passenger
A traffic stop turned into a police chase when a 65-year-old woman refused to sign for an $80 ticket,refused,65-year-old woman
"McConnell Challenger Video Missing Marine, DoD Endorsement Disclaimer",Missing,McConnell Challenger
"Boyfriend recalls 'chaos' as apparently random bullet killed Iowa woman, then struck him",chaos,Boyfriend
Fleabag Has a Poignant Insight About Sisterhood,Poignant,Fleabag
What Jeremy Hunt said on abortion,abortion,
"Howard Schultz takes a 'detour' in travels across America, postponing any announcement on whether or not he'll actually run for president",takes,Howard Schultz
Vietnamese woman accused in Kim Jong Nam's killing released,accused,Vietnamese woman
Lawyer for ‘MAGA bomber’ says Trump’s rhetoric ‘contributed’ to attacks on the president’s critics,attacks,Lawyer
"Walmart plans $73 million in upgrades for Louisiana stores; here's where, what to expect",plans,Walmart
Comedian Ian Cognito Dropped Dead In The Middle Of His Act,Dead,Ian Cognito
Nonprofit Organization Plants 250 Million Trees,Plants,
Christians revolt: Students at this top evangelical university are demanding Pence step down as commencement speaker — and suggesting Buttigieg deliver the address instead,demanding,Students
Beto Slams Warren’s ‘Mistaken’ Call to Decriminalize Border Crossings,Slams,Beto
Baltimore struggling after ransomware cyberhack cripple Baltimore's government computer network,struggling,Baltimore
The importance of Nancy Pelosi’s “handcuffs” exchange today with William Barr,“handcuffs”,Nancy Pelosi’s
"Democratic voters unfazed by 'inappropriate touching' claims against Joe Biden, polls show",unfazed,Democratic voters
Rare-Earths Mining Shows Exactly How China Cheats The United States Through ‘Free Trade’,Cheats,United States
Michigan Man Allegedly Shot Two Men ‘Because They Were Gay’: Prosecutors,Shot,
Ethics expert details the scandals in the White House’s new list of staff salaries,scandals,
Mueller (Allegedly) Found Child Porn on Phone of Lobbyist Who Set Up Trump-Russia Back Channel,Allegedly,Mueller
"Iran, Afghanistan Ink Pact to Boost Nuke Production",Pact,"Iran, Afghanistan"
A Parrot Named Freddy Krueger Is Alive And Well After A 4-Year Nightmare,A Parrot Named Freddy Krueger Is Alive And Well,Parrot
Joe Biden Is the Democrats’ Safety School,Safety,Joe Biden
Elevate your salad game with this grilled shrimp summer harvest salad,Elevate,
The FBI Is Cracking Down On Chinese Scholars Coming To America,Cracking,FBI
KNOWLES: Keep Jackson On The $20 Bill,KNOWLES,
Charlottesville residents say ‘ethnic cleansing’ threat proves ongoing danger of white nationalism,danger,Charlottesville
U.S. Retail Sales Tick Up in May,Up,
An Indian coffee baron has gone missing,missing,
Parents in South Korea Are Upset They Can’t Beat Their Kids Anymore,Upset,Parents in South Korea
